"point_id","time","lon","lat","ele","X","Y"
44,"2023/09/26 11:02:57+00",7.28108930401504,51.4322760980576,72.6,810527.15,6698117.53
45,"2023/09/26 11:03:02+00",7.28097598068416,51.4322845637798,72.4,810514.54,6698119.04
46,"2023/09/26 11:03:10+00",7.28077481500804,51.4323022495955,72.8,810492.14,6698122.2
47,"2023/09/26 11:03:17+00",7.28061916306615,51.4323050156236,72.8,810474.82,6698122.69
48,"2023/09/26 11:03:20+00",7.28053542785347,51.4323227014393,72.8,810465.5,6698125.85
49,"2023/09/26 11:03:23+00",7.28045722469687,51.432332675904,72.8,810456.79,6698127.63
50,"2023/09/26 11:03:33+00",7.28021750226617,51.4323656167835,72.8,810430.11,6698133.51
51,"2023/09/26 11:03:43+00",7.27997970767319,51.4323850627989,72.8,810403.63,6698136.98
52,"2023/09/26 11:03:53+00",7.27975599467754,51.4323796983808,72.6,810378.73,6698136.03
53,"2023/09/26 11:03:59+00",7.2796216327697,51.4323672931641,72.6,810363.77,6698133.81
54,"2023/09/26 11:04:03+00",7.27951895445585,51.4323724061251,72.8,810352.34,6698134.72
55,"2023/09/26 11:04:07+00",7.27942365221679,51.4323725737631,72.8,810341.73,6698134.75
56,"2023/09/26 11:04:09+00",7.27937201969326,51.4323815423995,72.6,810335.99,6698136.35
57,"2023/09/26 11:04:13+00",7.27926707826555,51.4323883317411,72.4,810324.3,6698137.57
58,"2023/09/26 11:04:21+00",7.27905007079244,51.4323945343494,72.2,810300.15,6698138.67
59,"2023/09/26 11:04:30+00",7.27883784100413,51.4324005693197,72.6,810276.52,6698139.75
60,"2023/09/26 11:04:40+00",7.27858646772802,51.4323910139501,72.2,810248.54,6698138.05
61,"2023/09/26 11:04:43+00",7.2785163950175,51.4323936123401,72.2,810240.74,6698138.51
62,"2023/09/26 11:04:48+00",7.27840583771467,51.4323962107301,71.8,810228.43,6698138.97
63,"2023/09/26 11:04:56+00",7.27825060486794,51.4323920197785,71.8,810211.15,6698138.23
64,"2023/09/26 11:04:58+00",7.27819880470634,51.4323862362653,71.8,810205.38,6698137.19
65,"2023/09/26 11:05:04+00",7.27804558351636,51.4323931094259,72.2,810188.33,6698138.42
66,"2023/09/26 11:05:05+00",7.27802320383489,51.4323988091201,72,810185.84,6698139.44
67,"2023/09/26 11:05:11+00",7.27788951247931,51.4324072748423,72,810170.95,6698140.95
68,"2023/09/26 11:05:12+00",7.27786252275109,51.4324148185551,72,810167.95,6698142.3
69,"2023/09/26 11:05:13+00",7.27783779613674,51.4324221946299,72,810165.2,6698143.61
70,"2023/09/26 11:05:20+00",7.27770117111504,51.432488411665,72.2,810149.99,6698155.44
71,"2023/09/26 11:05:26+00",7.27760444395244,51.4325700514019,72.4,810139.22,6698170.01
72,"2023/09/26 11:05:29+00",7.27757066488266,51.4326113741845,72.4,810135.46,6698177.39
73,"2023/09/26 11:05:37+00",7.27750159800053,51.4327260386199,72.2,810127.77,6698197.87
74,"2023/09/26 11:05:41+00",7.27742875926197,51.4327770005912,72.2,810119.66,6698206.97
75,"2023/09/26 11:05:46+00",7.27739573456347,51.4328549522907,72,810115.99,6698220.89
76,"2023/09/26 11:05:53+00",7.27740135043859,51.4329660963267,72,810116.61,6698240.73
77,"2023/09/26 11:06:00+00",7.27745298296213,51.4330711215734,71.8,810122.36,6698259.48
78,"2023/09/26 11:06:07+00",7.27748843841255,51.4331753086299,71.6,810126.31,6698278.09
79,"2023/09/26 11:06:14+00",7.27754870429635,51.4332630671561,71.4,810133.02,6698293.76
80,"2023/09/26 11:06:22+00",7.27760025300086,51.4333767257631,71.2,810138.75,6698314.05
81,"2023/09/26 11:06:30+00",7.27766177617013,51.4334763027728,70.8,810145.6,6698331.83
82,"2023/09/26 11:06:34+00",7.27769019082189,51.433532461524,70.4,810148.77,6698341.86
83,"2023/09/26 11:06:38+00",7.27770569734275,51.4335901290178,70.6,810150.49,6698352.16
84,"2023/09/26 11:06:42+00",7.27771910838783,51.4336458686739,70.6,810151.99,6698362.11
85,"2023/09/26 11:06:47+00",7.27774106897414,51.4337176177651,70.4,810154.43,6698374.92
86,"2023/09/26 11:06:55+00",7.27777644060552,51.4338305220008,70.2,810158.37,6698395.08
87,"2023/09/26 11:06:57+00",7.27778130210936,51.4338630437851,70.2,810158.91,6698400.89
